timestamp,uid,src_ip,src_port,dest_ip,dest_port,protocol,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
1538478769.600293,CSQG794riQ4XnzTxP2,192.168.100.103,37082.0,192.168.100.1,53.0,udp,dns,5.005151,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478779.610847,COTbdG2BhtGBlmf6r,192.168.100.103,34486.0,192.168.100.1,53.0,udp,dns,0.007243,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478789.630642,CP48WJ2HOnLuGtr5kb,192.168.100.103,37601.0,192.168.100.1,53.0,udp,dns,0.002250,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478779.620088,CeTMJi2TydRSaVdsG4,192.168.100.103,46439.0,192.168.100.1,53.0,udp,dns,5.005154,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478799.645444,CZ6ne24AN9WAg9XA9d,192.168.100.103,55174.0,192.168.100.1,53.0,udp,dns,0.002246,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478789.634890,CmOsCc16kkxJiJ3zF6,192.168.100.103,40788.0,192.168.100.1,53.0,udp,dns,5.005157,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478809.656495,Ca9JNa4eTKtloY8z5h,192.168.100.103,56655.0,192.168.100.1,53.0,udp,dns,0.001999,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478799.649691,CX4Jtj23yoifdPjkah,192.168.100.103,52983.0,192.168.100.1,53.0,udp,dns,5.001404,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478834.597306,CaZS0B31T39XBqk8Nd,192.168.100.103,37651.0,192.168.100.1,53.0,udp,dns,5.001156,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478844.603856,C458Uc2OYB9oRtxaAl,192.168.100.103,59986.0,192.168.100.1,53.0,udp,dns,0.028733,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478854.645141,CZXIAe1s3jP7RXfDR5,192.168.100.103,57311.0,192.168.100.1,53.0,udp,dns,0.002502,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478844.634336,CBFPjk2xXAZscgu3Y,192.168.100.103,47530.0,192.168.100.1,53.0,udp,dns,5.005154,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478864.657195,CE1jSk2DkfDD8Rz3Ch,192.168.100.103,40594.0,192.168.100.1,53.0,udp,dns,0.005743,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478854.649637,Cs1h301smX0xLliyFd,192.168.100.103,60797.0,192.168.100.1,53.0,udp,dns,5.005153,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478874.675246,CrdqKU1BReCA3aPxC6,192.168.100.103,58326.0,192.168.100.1,53.0,udp,dns,0.011986,90,90,SF,-,-,0.0,Dd,2.0,146.0,2.0,146.0,-   Benign   -
1538478864.664690,CbvBMw2cKyl2ARA6Aa,192.168.100.103,36131.0,192.168.100.1,53.0,udp,dns,5.005155,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478899.594558,CWqJKo1SQv81a7zl4,192.168.100.103,35291.0,192.168.100.1,53.0,udp,dns,0.030732,78,103,SF,-,-,0.0,Dd,2.0,134.0,1.0,131.0,-   Benign   -
1538478904.595461,CjSHdt4IqSEe8DG1Gg,192.168.100.103,51079.0,192.168.100.1,53.0,udp,dns,0.002497,39,103,SF,-,-,0.0,Dd,1.0,67.0,1.0,131.0,-   Benign   -
1538478904.598958,CvVziK2qnlfinzsYKj,192.168.100.103,40645.0,192.168.100.1,53.0,udp,dns,-,-,-,S0,-,-,0.0,D,1.0,67.0,0.0,0.0,-   Benign   -
1538478919.612414,CZjfaX6qU3nzVXkZf,192.168.100.103,60880.0,192.168.100.1,53.0,udp,dns,0.001757,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478909.601861,COyJpx4Uie0VvePfz5,192.168.100.103,34031.0,192.168.100.1,53.0,udp,dns,5.005153,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478919.615161,CsyChm3ahqobiKapTh,192.168.100.103,34984.0,192.168.100.1,53.0,udp,dns,0.001501,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478929.628963,CynxBE3CoZB738mXye,192.168.100.103,47994.0,192.168.100.1,53.0,udp,dns,0.000748,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478919.618413,CmlYIj3CToM3oOYJof,192.168.100.103,32777.0,192.168.100.1,53.0,udp,dns,5.005150,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478929.630711,CrTJYJH0GCLhTOMa4,192.168.100.103,43196.0,192.168.100.1,53.0,udp,dns,0.000999,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478939.649510,CexVc34PRclNpn3PC1,192.168.100.103,51104.0,192.168.100.1,53.0,udp,dns,0.000748,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478929.633710,CQFqtEnpRnBaDClxg,192.168.100.103,59325.0,192.168.100.1,53.0,udp,dns,5.010399,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478939.651008,C11kkg2FtDRIXkJMt7,192.168.100.103,50434.0,192.168.100.1,53.0,udp,dns,0.000749,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478909.602615,CYilE34ZqyVqKs8qX6,192.168.100.103,123.0,81.2.254.224,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
1538478978.598340,COwiM3YmNPKeBNRmk,192.168.100.103,50394.0,192.168.100.1,53.0,udp,dns,0.000748,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478968.591536,CMHjSm13hCZF4xCwxd,192.168.100.103,35075.0,192.168.100.1,53.0,udp,dns,5.001403,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478978.600087,Cr40Gl4eXXdH7ghK34,192.168.100.103,43659.0,192.168.100.1,53.0,udp,dns,0.000502,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478988.613639,CV2vtZ23AEMp82P0F1,192.168.100.103,50035.0,192.168.100.1,53.0,udp,dns,0.001498,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478978.602836,CRd6uC46vSLT5BFk95,192.168.100.103,37268.0,192.168.100.1,53.0,udp,dns,5.005153,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478988.616137,C7iWKQ18Ivc5fbbIf3,192.168.100.103,33353.0,192.168.100.1,53.0,udp,dns,0.002249,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478998.630937,CV3EKnOgyG9JohuZb,192.168.100.103,57845.0,192.168.100.1,53.0,udp,dns,0.405021,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478988.620135,CBEPca2slPkZEp9qGg,192.168.100.103,44091.0,192.168.100.1,53.0,udp,dns,5.005402,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538478999.036955,CtDfHNK3xKuF0SwFg,192.168.100.103,58473.0,192.168.100.1,53.0,udp,dns,0.000751,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538478963.590634,CbZ0N62KK0gHEDAfJb,192.168.100.103,123.0,89.221.210.188,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,-   Benign   -
1538479043.599341,CaIH3S9raWH2Jm8o,192.168.100.103,42562.0,192.168.100.1,53.0,udp,dns,0.000747,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538479033.588541,CFK4Om4k0nebUscrL4,192.168.100.103,32911.0,192.168.100.1,53.0,udp,dns,5.005149,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538479043.601089,CBW72C3c9dPVNS56Yi,192.168.100.103,34889.0,192.168.100.1,53.0,udp,dns,0.001748,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538479043.604587,CcV7Jv20IQYofjlHJi,192.168.100.103,49435.0,192.168.100.1,53.0,udp,dns,0.127185,39,103,SF,-,-,0.0,Dd,1.0,67.0,1.0,131.0,-   Benign   -
1538479043.733013,CZNIgD1sQeGGDZUfM9,192.168.100.103,55520.0,192.168.100.1,53.0,udp,dns,0.000749,39,39,SF,-,-,0.0,Dd,1.0,67.0,1.0,67.0,-   Benign   -
1538479053.752567,CXulPr1Ra1OYQu0FBh,192.168.100.103,39218.0,192.168.100.1,53.0,udp,dns,0.002493,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
1538479043.742006,CKcVTj1n3d7ofvP0K,192.168.100.103,39516.0,192.168.100.1,53.0,udp,dns,5.005155,78,0,S0,-,-,0.0,D,2.0,134.0,0.0,0.0,-   Benign   -
1538479053.756057,C6EZiN21AAI73TcNFe,192.168.100.103,50085.0,192.168.100.1,53.0,udp,dns,0.002500,45,45,SF,-,-,0.0,Dd,1.0,73.0,1.0,73.0,-   Benign   -
